date_iso,date_display,source,rating,rating_basis,sentiment,vader_compound,themes,title,job_title,location,employment,pros,cons,body,advice
2025-12-19,"Dec 19, 2025",Glassdoor,2.0,glassdoor_overall,negative,0.34,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Coworkers & Team,Not paid enough,Lead case manager,"San Diego, CA",Current employee,The coworkers make it worthwhile,You feel micromanaged by leadership or management,,
2025-12-22,"Dec 22, 2025",Indeed,1.0,indeed_topics,negative,-0.872,Management & Leadership; Micromanagement & Surveillance; Workload & Burnout,Micromanaging and unfair treatment (expected to call 100+ monthly),Lead Care Manager,"Los Angeles, CA",,honestly none,"micromanaging, unfair treatment, high work load, stress","Company doesn’t care for employees. Dismiss complains about unfair treatment/harassment from higher management. Micromanaging,employees are stressed.",
2026-01-07,"Jan 07, 2026",Glassdoor,1.0,glassdoor_overall,negative,-0.9111,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Career Growth & Advancement; Turnover & Retention; Coworkers & Team,Soul Sucking,Lead care manager,"San Diego, CA",Former employee,"The team was cool, we trauma bonded I guess","Everything. This place will bleed you dry. No growth opportunities. EXTREME micromanaging. Bad office politics. Bad benefits. Mid pay. Bad upper management. Bad PTO. Culture of threats and punishment, not celebration and reward. The punishment system is kind of like kindergarten, warnings, write ups, corrective actions. When I was at this job I was stuck completing processes that don't actually help people long term, getting chewed out every step of the way, having to beg for time off after being completely burnt out by the company culture. You will be watched and monitored on when you come in, when you leave, when you take breaks, who you talk to, how long you talk to them for, who are you friends with. When you're there, they are going to try to convince you that you are treated well and that all companies are like this. You are being GASLIT. If an employer has to tell you everyday that you are the problem, that you just need to be positive and grateful and complain less, then it should be a huge red flag. I know now that I was being gaslit because I left. No one stays for longer than a few years here. Most leave after just months. I left and will never ever ever look back, I'm so much happier",,
2026-02-12,"Feb 12, 2026",Indeed,,none,positive,0.9259,Management & Leadership; Culture & Toxicity; Meaningful / Patient Work,Good for your resume,Lead Care Manager,,,,,"Rewarding patient care, but management is condescending. I wish they were more understanding and kinder to staff. The culture is very cliquey and toxic.",
2026-02-12,"Feb 12, 2026",Indeed,1.2,indeed_topics,negative,0.9967,Management & Leadership; Micromanagement & Surveillance; Career Growth & Advancement; Communication & Organization; Coworkers & Team; Meaningful / Patient Work,"Great patient relationships, challenging management environment",Lead Care Manager,,,"Meaningful patient relationships, Hands-on care coordination experience, Strong communication skill development, Exposure to resource management, Good entry-level healthcare experience","Heavy emphasis on metrics with closely monitored performance, and management communication could feel overly critical rather than supportive","A typical day as a Lead Care Manager included calling patients, documenting encounters, coordinating resources, and conducting in-person meetings. The role was very hands-on and relationship-based, which I truly enjoyed. Building trust with patients and supporting them through personal health challenges was the most rewarding part of the job. Coming from a healthcare background, this position helped me grow in communication, care coordination, and patient advocacy skills. This job is a good opportunity for gaining experience, especially for those newer to care management. However, the work environment can be challenging. There is a strong emphasis on metrics and productivity, and management closely monitors performance. While accountability is important, the approach can sometimes feel overly critical. Communication from upper leadership did not always feel supportive, particularly when team members had questions or were behind on goals. The hardest part of the job was balancing meaningful patient care with strict performance expectations. The most enjoyable part was the relationships built with patients and seeing their progress over time. Overall, while I value the experience I gained, I would recommend this company primarily to those seeking short-term experience rather than long-term growth.",
2026-02-12,"Feb 12, 2026",Indeed,,none,positive,0.9927,Career Growth & Advancement; Communication & Organization; Meaningful / Patient Work,Great communication and team support,Data Entry,"San Diego, CA",,,,"Working here was a very rewarding experience both professionally and personally. It is a dynamic environment where teamwork, open communication, and data-driven decision-making are truly valued. I had the opportunity to optimize processes, develop reports and dashboards, and collaborate with different teams to improve operational outcomes. The culture encourages accountability, mutual support, and professional growth. I felt heard and appreciated, and I was able to contribute my analytical and organizational skills to create meaningful impact. I would definitely recommend this workplace to anyone looking to grow and make a difference.",
2026-02-17,"Feb 17, 2026",Indeed,,none,positive,0.3818,Workload & Burnout; Turnover & Retention; Meaningful / Patient Work,High turnover rate,Lead Care Manager,,,,,"Difficult to set boundaries here, even with a high case load and expectations. You will be expected to find resources on your own and to be creative when helping clients.",
2026-03-03,"Mar 03, 2026",Indeed,,none,negative,-0.7798,Management & Leadership; Micromanagement & Surveillance; Workload & Burnout; Culture & Toxicity; Coworkers & Team; Meaningful / Patient Work; Flexibility & Schedule; Work Conditions & Safety,"Micromanagement, low trust, and poor morale made it extremely painful to wake up and go to work each day",Lead Care Manager,"El Centro, CA",,,,"What is the best part of working at the company? Helping the members is the only good part of this company. Other than that’s Micromanaging is extreme. You can’t even go comfortably to the restroom. What is the most stressful part about working at the company? The micromanaging, the watching your every move, making one person do the job of multiple, ridiculous expectations and no flexibility. Management and HR are unprofessional and extremely rude. What is the work environment and culture like at the company? The work environment is highly micromanaged, with limited trust or autonomy given to team members. Tasks require excessive oversight, and decisions are frequently second-guessed, which slows productivity and discourages initiative. Feedback is often critical rather than constructive, creating a culture where employees focus more on avoiding mistakes than contributing ideas. This approach has negatively impacted morale, collaboration, and overall team engagement.",
2026-03-03,"Mar 03, 2026",Indeed,,none,negative,-0.8268,Management & Leadership; Micromanagement & Surveillance; Pay & Benefits; Workload & Burnout; Culture & Toxicity; Communication & Organization; Turnover & Retention; Work Conditions & Safety,Micromanaging,Lead Care Manager,"El Centro, CA",,,,"Unfortunately, the work environment at this location is extremely difficult due to poor management practices and excessive micromanagement. Employees are required to track and document nearly every task through multiple spreadsheets, outreach logs, and internal lists that are often incomplete or outdated. Instead of supporting staff, this level of micromanagement creates unnecessary stress and inefficiency. Our office is required to complete significantly more administrative tracking and outreach requirements than other locations, including additional contact attempts, swap lists, spreadsheets for in-person visits, and documentation systems that are not consistently used across the organization. This creates an unequal workload compared to other offices. Policies are also enforced inconsistently. Some employees have been disciplined for dress code violations while others have openly violated the same policies for extended periods of time without any consequences. This creates a perception of favoritism and unequal enforcement of company rules. Communication with management and HR has also been problematic. Concerns raised by employees regarding workplace issues and policy inconsistencies have gone unanswered for long periods of time. There have also been concerns related to workplace health and safety practices that were not handled appropriately, which resulted in staff becoming ill and missing work. The high turnover of employees and supervisors reflects the overall management culture and the level of frustration experienced by staff. I hope leadership takes steps to address these issues by improving communication, ensuring fair policy enforcement, and reducing unnecessary micromanagement so employees can focus on providing quality work.",
2026-03-05,"Mar 05, 2026",Indeed,,none,negative,-0.819,Management & Leadership; Micromanagement & Surveillance; Workload & Burnout; Training & Onboarding,Horrible company! Look somewhere else!,Lead Case Manager,,,,,"What is the best part of working at the company? Absolutely NOTHING!!! Worst company to work for. You get no support, management is horrible and does not communicate with each other. When you voice your concerns, they ignore you. What is the most stressful part about working at the company? They expect you do 100 different task without training you properly and expect you to understand it within a few days not even a week . What is the work environment and culture like at the company? Horrible you will be micromanage. You have to let everyone know what you are doing at all times.",
2026-04-19,"Apr 19, 2026",Indeed,,none,positive,0.7717,Training & Onboarding,Easy Onboarding,Lead Care Manager,,,,,"Initial application, responsive and rapid recruitment contact turn-around, virtual meet and greet screening, quick in-person team interview and onboarding process is relatively seamless.",
2026-04-23,"Apr 23, 2026",Indeed,1.0,indeed_topics,negative,-0.5583,Management & Leadership; Pay & Benefits,Do not work here,Lead Care Manager,"San Diego, CA",,Nons,"Poor management, poor pay and benefits",Awful place to work with extremely poor management. This place will deteriorate your mental health. PLEASEEEE read Glassdoor reviews before accepting the offer. They will hire anyone because they work them to the bone,
2026-04-24,"Apr 24, 2026",Indeed,,none,positive,0.9419,Workload & Burnout; Culture & Toxicity; Flexibility & Schedule,It’s a decent job,Lead Care Manager,"San Diego, CA",,,,"What is the best part of working at the company? The job is very flexible, and you have the option to work 4/10s What is the most stressful part about working at the company? The expectations change on very short notice What is the work environment and culture like at the company? It’s okay , as long as you start out of work place drama you’ll be fine What is a typical day like for you at the company? Making calls, creating care plans and doing field work",
2026-05-14,"May 14, 2026",Indeed,1.4,indeed_topics,negative,-0.5095,Management & Leadership; Pay & Benefits; Culture & Toxicity; Communication & Organization; Turnover & Retention,People are great Management is awful,Patient coordinatinator,"Tinley Park, IL",,The staff is nice,It's chaos when it comes to management,The level of unprofessionalism at this company is absurd. There is constant turn over because they don't compensate employees fairly for their work. There is zero organization and zero accountability on behalf of management. It's the most chaotic work environment I've ever experienced.,
2026-05-26,"May 26, 2026",Indeed,,none,negative,-0.9363,Management & Leadership; Workload & Burnout; Culture & Toxicity; Communication & Organization,Horrible place to work,Outreach Specialist,"Sacramento, CA",,,,"My experience with management at Serene Health was disappointing, especially with Ramon Anguiano. In my opinion, the management style came across as passive-aggressive and disorganized. Communication and leadership lacked professionalism, and there seemed to be difficulty handling responsibilities effectively. Overall, the workplace environment felt poorly managed and stressful. Do NOT WORK FOR OUTREACH! You will be under incompetent leadership. Everyone from each location has the same issue with the same leadership. RUN!!!!!!!!",
